Pathway	0010_07-09-16	0354_01-10-17	0677_08-19-17	0904_07-10-17	0963_05-23-17	1203_01-23-17	1320_03-23-16	1593_09-12-17	1709_09-19-17	1894_04-24-18	1985_06-07-16	2045_08-21-17	2409_08-02-16	2651_11-22-16	3227_08-15-17	3315_06-07-16	3321_03-08-16	3329_11-01-16	3369_08-07-18	3545_12-13-16	3660_09-20-16	3836_02-27-17	3898_12-27-16	3899_06-13-18	3921_07-18-17	3955_08-25-17	4018_01-05-16	4100_01-03-17	4374_02-28-17	4471_01-03-17	4489_11-17-15	4546_04-26-16	4582_05-23-17	4657_08-23-16	4759_08-16-16	4913_03-07-17	4954_11-23-16	5160_07-19-16	5287_10-19-16	5338_08-04-17	5432_01-27-16	5600_07-10-17	5702_04-26-16	5890_09-27-16	5913_01-24-17	5975_07-18-17	6037_07-10-18	6070_08-30-17	6100_12-27-16	6673_12-07-16	6753_10-30-18	6995_03-15-16	7005_02-14-18	7551_11-02-16	7660_05-01-18	7768_08-15-17	7786_11-08-16	7953_05-15-18	8012_12-09-15	8118_02-09-16	8120_05-22-18	8158_04-12-16	8186_11-22-16	8344_05-02-17	8507_05-03-16	8633_04-19-16	9059_02-02-16	9120_02-09-16	9176_03-29-16	9190_03-14-18	9371_10-16-18	9591_03-14-17
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0	0	0	0	0	64.7695	43.5836	0	0	0	0	5.89701	0	41.632	15.7276	0	0	0	97.6115	0	34.0775	0	89.4331	0	0	49.6468	29.2451	44.6753	83.1043	0	134.887	6.56492	0	0	0	351.439	44.9084	178.254	0	1.86095	83.251	113.39	21.7999	95.0538	69.6469	22.3122	9.02485	155.052	0	0	101.527	78.335	97.6739	78.601	0	96.7531	0	0	0	0	0	176.101	94.3174	0	0	0	161.86	36.887	0	3.83472	0	117.609
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	0	192.48	96.2959	0	0	0	115.494	64.3896	39.5736	0	640.763	106.89	0	124.86	86.6514	22.2431	0	0	181.331	4.62804	0	85.7169	18.4247	31.1763	58.9565	21.7709	155.196	123.017	119.156	0	101.537	3.76522	50.9836	0	121.397	3.85884	380.601	116.31	0	7.93422	26.0537	83.0301	128.853	6.4264	68.8445	85.6218	11.5254	0	5.20703	84.817	17.5214	41.1077	54.5069	156.192	0	19.308	0	0	0	18.0924	73.5098	15.1942	112.238	63.9435	0	127.337	122.928	79.5795	0	105.146	8.09254	39.0655
GLUDEG-I-PWY: GABA shunt	0	0	1.10642	0	0	0	53.304	0	0	0	2.97585	0	0	57.364	24.8732	0	0	0	3.10671	0	2.56936	0	9.28413	0	6.73869	0	0	52.1823	80.6901	0	91.8522	0	2.24334	0	0	97.4095	0	208.692	0	5.86784	55.8131	2.52226	0	12.1444	63.8068	2.23465	0	24.8714	0	0	0	0	122.308	9.50141	0	0	0	0	0	5.0831	0	3.01793	91.399	0	0	0	69.3897	0	0	0	0	1.79388
GLUTORN-PWY: L-ornithine biosynthesis I	0	207.035	506.602	0	0	0	180.476	90.8056	11.6806	0	52.8792	185.028	0	142.493	172.619	16.207	150.505	22.388	245.344	0	51.012	141.088	152.836	23.2088	160.171	117.681	116.463	158.299	259.086	0	270.787	234.01	141.027	166.761	77.5539	312.265	144.091	318.402	0	132.515	118.326	190.12	479.269	30.2956	200.191	324.066	84.4547	74.0909	0	178.417	295.788	206.847	188.505	199.163	69.8836	112.344	0	68.0757	0	12.574	133.39	47.7388	263.528	75.1304	345.816	167.007	348.813	229.091	0	117.095	82.7202	151.465
GLYCOCAT-PWY: glycogen degradation I	0	0	0	0	0	115.481	38.5651	0	0	0	0	11.6502	0	62.345	15.6754	0	0	0	144.642	0	63.5478	0	153.932	0	0	92.0158	56.6526	73.0247	94.4677	0	158.918	12.9999	0	0	0	422.274	81.7163	187.513	0	3.71658	133.459	170.606	33.0796	135.59	115.776	8.78578	13.7581	197.132	0	0	121.211	132.46	147.499	138.545	0	163.669	0	0	0	0	0	283.541	160.123	0	0	0	106.949	69.3342	0	7.61596	0	205.876
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0	166.917	685.399	0	0	122.595	224.57	129.927	78.5662	0	75.9182	249.574	0	188.585	121.922	42.0656	76.9488	0	155.533	332.82	65.2349	134.131	324.782	48.0532	141.79	114.65	214.957	137.491	162.167	0	220.291	377.056	98.8405	0	91.4856	335.862	180.384	282.588	348.688	51.5977	211.492	154.027	522.076	91.6084	131.358	316.422	19.6792	148.434	0	133.398	99.0033	229.697	175.331	317.335	12.2089	247.014	0	0	0	11.0401	9.62103	543.98	264.241	222.223	415.147	278.732	425.223	287.777	0	165.247	80.3045	271.346
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	0	0	0	0	0	0	2.4805	0	0	0	0	0	0	2.8853	0	0	0	0	0	0	0	0	0	0	0	0	0	8.47524	15.9133	0	21.5428	0	0	0	0	0	0	16.8374	0	0	0	2.29169	1.04757	0	13.83	4.93431	0	0	0	0	0	0	6.37779	0	0	0	0	0	0	0	0	0	14.0615	0	0	0	16.0089	0	0	0	0	0
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	0	0	53.4601	0	0	0	100.573	0	0	0	6.22505	90.0661	0	172.941	27.1878	18.6013	0	0	0	22.2368	0	99.5245	146.713	12.7287	92.8996	0	43.1179	112.508	184.894	0	208.733	53.9106	116.657	0	0	245.239	47.0946	272.654	0	24.9198	111.498	82.8963	94.019	21.4059	187.936	111.723	12.6165	7.37621	48.633	0	44.4713	58.5665	86.376	73.7253	0	8.79392	0	118.669	0	27.6679	132.749	51.7631	193.648	135.907	0	74.5354	161.821	4.92787	0	154.618	14.2186	160.253
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"	0	0	0	0	0	0	77.5549	0	0	0	0	0	0	99.631	27.1785	0	0	0	0	0	0	0	0	0	0	0	0	129.133	170.404	0	211.169	0	0	0	0	376.491	46.6355	248.161	0	0	25.1778	14.2536	40.5884	65.782	86.5515	20.1649	11.0872	57.9359	0	0	0	114.698	141.487	0	0	0	0	0	0	0	0	0	180.361	0	0	0	205.766	0	0	0	0	77.2795
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0	197.321	84.8899	227.576	267.731	279.275	157.51	278.343	233.232	0	555.367	155.359	0	257.921	180.107	52.342	274.592	638.676	213.476	390.499	280.433	327.265	295.51	212.173	154.661	237.098	238.049	251.156	343.266	0	286.786	148.483	256.754	257.333	261.673	459.986	561.622	366.626	0	31.8601	281.027	304.262	154.341	85.2286	290.639	160.322	135.941	198.822	78.3084	6.13316	513.3	430.39	287.643	286.507	374.71	36.4182	0	407.397	0	45.5838	182.486	196.375	348.177	379.156	114.438	238.763	325.28	315.232	0	331.962	178.484	238.308
GLYOXYLATE-BYPASS: glyoxylate cycle	209.922	0	2.3802	0	0	0	60.4636	0	0	0	0	0	0	42.6432	12.9372	0	0	0	0	0	23.0214	0	0	0	0	0	0	65.0368	88.142	0	116.48	0	0	0	0	279.286	28.5817	149.956	0	0	6.89826	5.4652	13.4578	60.6642	31.5096	5.16227	15.7508	113.403	0	0	0	47.5698	63.8271	0	0	0	0	0	0	0	0	0	104.218	0	0	0	119.756	0	0	0	0	29.8923
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol"	0	0	180.271	0	0	0	7.58471	20.4077	0	0	0	13.0953	0	22.8602	38.4847	0	0	0	0	0	0	3.30867	52.2645	4.60634	31.4183	7.49657	11.6313	12.3862	6.12026	0	6.54843	232.419	7.97973	0	0	406.704	0	5.49892	0	32.2786	82.3586	15.8815	45.6224	0	54.0595	95.8815	0	25.3348	0	73.7968	0	18.7366	76.5239	32.3935	0	46.9027	0	30.639	0	0	0	19.5343	27.2342	0	0	11.7263	51.6971	81.3894	0	9.80089	4.08299	66.7493
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	0	0	0	0	0	54.7977	14.5977	0	0	0	0	0	0	29.7747	2.39925	0	0	0	0	0	0	0	0	0	0	0	0	22.2289	57.1589	0	0	0	0	0	0	181.427	0	84.529	0	0	0	0	0	0	16.0741	1.65369	0	0	0	0	0	0	28.7263	0	0	0	0	0	0	0	0	0	49.4273	0	0	0	63.7653	0	0	0	0	0
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	202.302	64.4004	0	0	0	0	13.3107	0	0	0	0	2.271	0	19.7578	0.799496	0	140.535	572.158	0	0	43.001	0	80.8476	0	0	0	23.1874	45.171	68.5738	0	91.2928	71.5728	10.131	196.759	22.8254	214.304	152.332	137.812	0	0	31.4435	10.2022	36.5777	205.739	28.4948	36.2394	14.8557	231.275	0	0	396.973	161.555	35.8005	2.8397	104.627	0	138.883	761.109	0	0	0	130.961	65.7917	0	0	0	67.897	0	0	2.93482	0	222.98
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	0	0	14.2916	0	0	0	17.9193	0	0	0	0	10.4642	0	23.1307	5.36493	0	0	0	2.6861	0	42.816	21.4683	53.4727	0	1.68881	0	23.2174	43.9293	77.5688	0	97.1382	191.244	11.2534	0	18.1567	332.647	2.26682	128.208	0	3.58365	106.076	10.5584	78.8796	9.1768	36.0423	97.2441	5.62849	96.0972	0	0	29.81	115.289	53.7079	2.85609	0	0	0	681.59	0	0	32.6854	21.9401	73.2379	0	0	0	84.6955	5.91101	0	0	2.06262	181.513
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	0	25.4408	54.6677	0	0	0	101.558	0	0	0	603.598	35.0139	0	134.596	53.5624	11.0854	162.379	0	0	6.56825	0	38.8524	168.634	83.6599	95.0185	0	68.2418	170.185	223.652	0	257.075	95.8147	34.1644	0	100.131	379.441	570.434	270.655	0	20.6417	126.763	64.258	70.7382	54.1934	146.909	123.293	30.8129	0	11.7179	7.12602	101.018	167.619	151.938	66.4298	8.80866	26.1337	0	147.585	0	22.1587	30.7281	64.4049	240.412	0	0	81.7018	248.695	137.214	0	0	14.6959	140.031
HISDEG-PWY: L-histidine degradation I	0	0	108.756	68.4101	120.947	235.199	214.064	350.352	418.987	0	1.92252	287.246	0	378.054	298.938	492.017	0	9.28537	288.676	506.413	342.769	384.904	72.2177	343.847	301.969	376.682	427.649	329.792	192.233	0	117.967	57.6651	245.082	0	623.438	179.628	0	320.493	320.14	484.032	46.0861	265.589	0	8.4648	275.762	212.228	437.619	3.08907	460.436	314.216	11.0871	3.84996	245.052	283.623	2.67086	158.23	0	0	0	556.122	480.195	12.3231	198.324	312.647	0	348.642	70.8764	176.499	0	386.72	281.187	22.3366
HISTSYN-PWY: L-histidine biosynthesis	0	241.161	410.29	801.267	199.743	298.608	435.143	458.747	415.955	0	533.185	405.91	0	445.141	476.996	490.694	235.139	43.8838	398.434	461.327	277.024	488.719	150.003	372.849	413.099	520.828	440.563	398.339	315.205	0	246.661	373.467	486.35	257.041	646.775	218.515	524.017	345.369	374.019	757.104	171.195	442.722	474.172	83.2202	407.992	288.206	445.17	158.57	475.502	472.712	426.291	244.478	330.025	413.831	111.118	373.452	0	929.737	0	495.987	511.494	90.7476	370.491	372.329	246.079	409.212	300.169	444.978	0	469.701	398.069	216.807
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	0	0	170.371	0	164.906	58.9044	37.651	0	0	0	8.38454	20.6836	0	72.4148	24.947	0	69.9412	831.214	4.66037	0	90.1306	0	97.5279	12.4006	31.6551	2.44897	16.0973	60.3178	120.865	0	148.182	194.076	11.0276	0	29.4423	286.476	0	204.615	0	8.66979	71.6356	23.3034	130.484	39.1565	63.3928	150.431	20.2329	11.8486	0	12.6055	17.6698	180.387	54.8993	70.9123	0	0	0	0	0	37.9907	13.0886	466.338	144.974	3.78917	0	4.59928	211.103	40.6218	0	2.59202	0	55.3017
HSERMETANA-PWY: L-methionine biosynthesis III	0	178.01	383.155	162.792	0	122.882	199.012	81.0814	37.4937	0	8.89473	270.588	0	185.901	150.292	24.7143	126.013	876.352	339.39	300.669	133.882	184.518	341.805	18.3346	237.361	263.305	219.422	192.964	195.063	0	240.731	315.791	242.347	0	233.545	91.9477	77.4568	330.898	0	389.44	270.835	245.544	248.102	78.8404	378.035	262.306	538.937	164.109	450.726	157.16	302.03	309.396	183.876	275.079	26.0665	527.662	0	79.1748	0	238.637	162.103	542.063	205.782	401.224	88.8537	46.8191	269.502	237.699	0	89.4752	75.7473	338.465
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0	278.242	721.281	912.373	499.913	330.701	506.411	562.93	445.233	0	26.0041	587.84	0	574.261	584.874	612.19	312.12	775.073	635.396	617.944	389.116	595.682	403.702	393.212	555.016	606.101	613.175	480.706	478.069	0	521.931	518.524	614.43	291.941	686.514	570.361	208.607	680.192	423.996	841.049	304.713	551.973	814.06	182.514	665.621	569.112	519.132	374.078	564.699	691.653	551.452	424.714	478.64	560.46	203.797	726.661	0	950.789	64.035	654.645	522.727	740.334	641.776	498.579	437.747	609.248	546.898	654.425	0	636.595	449.55	416.448
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	0	0	0	0	0	0	5.98444	0	0	0	0	0	0	10.9795	0	0	0	0	0	0	0	0	0	0	0	0	0	13.9842	21.9962	0	21.779	0	0	0	0	0	0	25.6226	0	0	0	0	2.50786	0	27.522	14.7704	0	0	0	0	0	0	21.6243	0	0	0	0	0	0	0	0	0	12.8708	0	0	0	18.5043	0	0	0	0	0
KETOGLUCONMET-PWY: ketogluconate metabolism	0	0	0	0	0	0	7.65654	0	0	0	0	0	0	10.7898	8.26	0	0	0	0	0	0	0	0	0	0	0	0	17.2663	30.9427	0	122.526	0	0	0	0	74.7553	0	141.358	0	0	8.46852	0	1.35807	0	18.256	0	0	0	0	0	0	3.6589	16.7481	0	0	0	0	0	0	0	0	10.0739	17.9887	0	0	0	44.1973	0	0	0	0	0
LACTOSECAT-PWY: lactose and galactose degradation I	0	804.582	8.55913	0	0	0	1.57874	0	0	0	1409.34	6.49185	0	9.6933	12.1204	0	257.296	755.77	0	1.35271	179.438	0	345.671	58.6741	0	9.05156	5.91202	44.8176	13.5435	417.27	10.5957	158.504	6.56818	336.358	71.2762	156.716	1071.32	0	0	0	63.1075	0	30.4401	4.97453	2.77241	219.684	5.276	0	5.42845	8.54607	500.689	336.331	1.6441	17.0705	1227.95	0	0	266.022	493.341	9.80606	7.29993	685.343	39.891	10.5511	0	0	6.41649	1.60681	0	0	12.2529	106.794
LIPASYN-PWY: phospholipases	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.15941	0	0	0	0	0	0	0	1.19603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis	0	0	0	0	0	0	10.4969	0	0	0	0	0	0	3.02224	0	0	0	0	0	0	0	0	0	0	0	0	0	12.0503	39.1972	0	24.1857	0	0	0	0	0	0	30.7123	0	0	0	0	4.01456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.3731	0	0	0	39.8139	0	0	0	0	0
LYSINE-AMINOAD-PWY: L-lysine biosynthesis IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.5923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.4971
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS: protein N-glycosylation initial phase (eukaryotic)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.5254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.70966
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0	0	259.514	0	259.354	91.5379	68.0806	0	0	0	13.4742	32.9802	0	121.797	39.936	0	93.6018	645.141	8.14176	0	120.693	0	151.43	21.074	64.7873	4.20439	34.2609	112.511	190.385	0	229.718	277.527	19.9324	0	58.1147	362.79	0	298.846	0	14.0463	104.955	45.8833	206.791	55.127	99.8052	250.486	32.4334	18.5857	0	19.784	27.067	236.947	99.4522	129.42	0	0	0	0	0	21.3752	23.4166	503.078	213.514	8.72436	0	8.31439	284.49	66.1689	0	4.13341	0	83.9729
METH-ACETATE-PWY: methanogenesis from acetate	0	0	205.112	0	0	0	12.2686	0	0	0	0	39.2113	0	15.1546	13.3234	0	0	0	0	0	0	0	0	0	0	11.8224	22.1346	19.7254	25.819	0	0	0	0	0	0	14.7535	0	0	0	63.6093	0	8.12642	0	0	0	6.59065	0	0	0	8.44178	0	0	0	0	0	0	0	0	0	0	0	4.34954	31.9507	0	0	29.0091	139.425	22.3328	0	0	59.2397	0
METHGLYUT-PWY: superpathway of methylglyoxal degradation	231.51	0	3.57752	12.7205	0	0	41.7037	18.3339	0	0	0	0	0	27.7763	16.6337	0	0	0	0	0	0	0	10.2395	0	2.70117	7.61014	0	38.4039	51.8284	0	93.3396	0	12.6524	0	12.7315	84.9598	37.0795	134.685	0	0	12.2725	9.00404	9.43635	6.87327	7.00708	39.3576	0	0	0	0	0	36.4759	10.2758	74.9638	0	27.1724	0	0	0	0	0	2.18179	63.9199	8.75516	0	0	66.4672	5.54653	0	0	0	19.816
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	0	0	255.404	0	237.664	91.4861	69.4189	0	0	0	16.5552	39.0542	0	127.114	47.3083	0	106.267	681.739	9.20742	0	117.063	0	171.246	23.8487	59.3841	4.87275	31.1479	106.312	183.889	0	216.973	279.779	21.3785	0	56.6731	377.307	0	283.225	0	17.1616	121.716	44.2628	211.512	65.0809	111.609	229.042	33.4943	22.6201	0	24.6222	34.2042	263.054	94.5888	121.135	0	0	0	0	0	20.5068	25.4883	538.978	215.381	7.5048	0	9.07946	279.162	73.8458	0	5.14588	0	102.05
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	0	0	0	0	0	0	34.9416	155.718	180.056	0	0	135.07	0	58.6884	149.736	65.56	19.9925	0	0	0	0	81.0854	69.0478	117.929	60.809	69.6675	145.515	62.5738	31.5345	0	81.6521	1.34708	55.6973	0	17.1194	88.2841	53.5455	100.042	0	0	25.081	3.04541	10.1904	0	34.7891	48.4853	6.42073	0.962057	1.99986	98.7482	0	107.083	89.3958	117.313	0	48.9549	0	0	0	0	0	174.731	35.8238	0	0	181.831	64.6002	0	0	0	120.629	46.8387
NADSYN-PWY: NAD de novo biosynthesis II (from tryptophan)	39.3648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.3267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.0707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.3109
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	0	0	0	0	0	0	121.746	249.565	161.095	0	0	7.33336	0	244.009	170.847	0	0	0	0	0	0	185.85	0	239.745	66.7509	287.463	40.9795	200.063	231.607	0	207.731	131.837	180.737	0	221.83	288.219	0	205.227	0	394.2	50.7391	207.426	32.926	12.4996	119.368	53.6106	8.99445	4.48982	0	183.203	0	0	211.257	0	0	24.1773	0	0	0	27.802	74.9499	4.29213	221.396	0	0	104.1	163.113	177.402	0	283.382	46.5785	17.5933
NONMEVIPP-PWY: methylerythritol phosphate pathway I	0	0	559.569	862.792	0	209.145	429.323	467.053	445.437	0	15.3972	475.88	0	469.558	467.047	511.64	0	0	432.33	558.331	434.013	490.507	283.258	413.977	483.124	510.068	507.907	423.368	318.59	0	273.076	510.793	527.231	0	641.746	311.533	0	387.965	387.321	694.822	241.723	465.534	513.613	115.387	447.118	415.886	491.427	155.579	497.309	480.025	172.585	226.925	331.471	398.869	3.71809	426.73	0	366.039	0	499.186	542.808	295.527	362.739	404.252	322.595	451.314	376.498	480.869	0	477.175	456.556	488.221
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	215.908	467.576	648.779	49.3789	212.546	62.7028	309.59	316.184	67.3493	0	55.314	305.681	0	233.144	235.905	42.5729	203.627	557.676	396.178	177.133	38.014	151.561	202.703	43.6541	383.688	172.943	190.323	188.181	299.534	593.921	396.002	563.79	185.064	132.471	127.228	769.104	197.887	484.253	368.796	309.556	281.897	235.887	423.089	245.952	406.182	606.54	468.394	161.163	481.428	377.314	350.097	676.508	405.031	385.215	629.707	313.343	0	158.371	291.922	439.426	120.868	632.649	377.21	337.878	632.078	282.718	535.053	521.792	0	410.955	94.2206	511.451
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0	317.678	296.8	0	0	109.686	133.174	98.6842	0	0	33.3435	178.081	0	164.728	165.965	0	195.779	0	7.60621	0	108.406	66.0101	543.827	107.986	105.932	31.7573	145.158	202.592	184.987	486.742	173.281	363.571	128.428	0	166.082	278.189	46.442	144.309	0	98.1016	266.099	136.814	390.078	51.0672	177.407	314.288	32.7391	57.1411	0	185.561	118.42	319.106	122.131	212.785	581.139	120.182	0	175.533	320.12	44.8183	131.545	401.246	259.392	28.8872	63.2698	71.7179	278.891	227.821	0	32.9328	20.4254	495.013
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	0	0	0	0	0	0	21.3813	0	0	0	0	0	0	26.0337	5.13653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.0113	0	0	0	0	305.52	0	89.755	0	0	2.89234	2.55197	0	0	23.8519	4.75056	0	0	0	0	0	0	67.6675	0	0	0	0	0	0	0	0	0	11.6822	0	0	0	38.8655	0	0	0	0	0
ORNDEG-PWY: superpathway of ornithine degradation	0	0	0	0	0	0	30.3486	0	0	0	0	0	0	40.5099	15.1945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153.839	0	0	0	0	351.858	0	154.137	0	0	3.91431	4.42475	0	0	41.5778	52.6159	0	0	0	0	0	0	50.8835	0	0	0	0	0	0	0	0	0	94.6692	0	0	0	198.636	0	0	0	0	0
P101-PWY: ectoine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06691
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	0	0	0	0	0	0	71.3376	0	0	0	0	0	0	64.2442	25.5752	0	0	0	0	0	0	0	0	0	0	0	0	82.6489	116.324	0	151.111	0	0	0	0	339.29	0	157.897	0	0	14.3918	14.3474	20.1907	0	54.4219	10.2233	0	17.7497	0	0	0	72.1716	123.526	0	0	0	0	0	0	0	0	0	113.233	0	0	0	62.9423	0	0	0	0	45.4877
P108-PWY: pyruvate fermentation to propanoate I	0	0	45.3894	10.6949	0	0	19.7673	0	0	0	0	44.6826	0	43.8774	48.1321	0	0	0	123.716	0	0	22.0013	9.34712	0	101.261	0	16.1655	22.435	16.4343	0	51.1488	104.543	34.5419	0	0	114.047	0	97.1781	0	8.52053	24.5873	21.8898	30.4523	0	75.4167	84.0268	0	0	0	0	0	8.45964	22.6496	0	0	0	0	0	0	0	61.8223	48.8765	47.4923	16.0743	0	17.668	17.3763	0	0	14.3006	3.83668	46.9727
P122-PWY: heterolactic fermentation	0	0	8.92385	0	0	0	1.32723	0	0	0	0	0	0	16.1757	0	0	0	0	0	0	0	0	62.8751	0	0	0	0	21.7078	49.832	0	43.1471	0	0	0	0	127.146	0	25.3864	0	0	111.771	6.01865	14.8379	0	41.261	6.43709	6.96403	0	0	0	0	154.807	19.2194	0	0	0	0	0	0	0	0	34.791	31.2767	0	0	0	5.43401	0	0	0	0	83.996
P124-PWY: Bifidobacterium shunt	0	0	10.4225	0	0	0	0	0	0	0	133.453	0	0	0	3.7684	0	0	0	0	0	0	0	180.586	0	0	0	29.1751	28.8384	0	0	0	0	0	0	0	0	8.03021	0	0	0	198.148	0	17.6286	22.07	0	7.3974	7.94822	47.6189	0	0	54.5001	187.183	0	25.2015	23.4729	6.78658	0	0	0	0	0	114.692	11.4775	0	0	0	0	0	0	0	0	444.284
"P125-PWY: superpathway of (R,R)-butanediol biosynthesis"	0	87.5948	1.83214	0	0	0	0	0	0	0	0	0	0	0	0.911509	0	274.003	49.8416	0	0	43.5091	0	73.894	0	0	0	0	0	1.04238	0	2.04759	3.6683	0	276.769	37.2109	10.2945	182.705	2.57594	0	0	76.6193	1.96438	4.98263	0	0	41.1992	0	0	0	0	363.266	135.73	0	0	202.328	0	0	24.9933	0	0	0	12.2274	0	0	0	0	0	0	0	0	0	23.7963
P161-PWY: acetylene degradation (anaerobic)	0	122.857	250.973	0	0	68.9378	61.9132	79.8579	0	0	0	43.1761	0	52.3716	94.421	0	206.859	0	23.8724	0	46.5803	0	32.5129	0	84.7624	16.1967	0	71.0201	83.7281	0	82.5449	250.051	33.7074	0	11.7011	381.123	2.65261	227.129	0	208.016	57.0125	28.8166	47.423	0	160.93	310.733	10.35	0	0	161.269	0	166.041	96.5753	37.6147	247.466	29.7143	0	66.5277	0	0	8.78558	185.9	134.482	0	73.2286	41.3202	152.921	72.4731	0	61.8789	0	4.49058
P163-PWY: L-lysine fermentation to acetate and butanoate	0	0	32.8889	0	0	0	0	0	0	0	0	0	0	0	31.4417	0	0	0	0	0	0	0	2.98278	0	0	0	0	2.99677	0	0	2.09761	59.838	0	0	0	0	0	0	0	0	4.83807	0	0	0	0	68.5407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P164-PWY: purine nucleobases degradation I (anaerobic)	0	147.292	205.519	0	0	0	198.32	110.782	0	0	0	114.415	0	82.8788	138.551	7.10366	0	0	70.727	0	0	105.666	20.3411	6.08451	149.065	38.4396	21.2858	99.3979	204.678	0	179.929	164.845	94.8957	0	5.65945	238.635	0	206.785	0	249.911	37.0229	56.1119	208.4	0	51.0358	180.996	0	9.99973	0	157.328	0	17.7533	172.799	196.565	401.125	77.562	0	117.289	0	0	0	36.1611	204.354	72.5024	444.223	152.118	281.713	262.103	0	122.337	6.19398	57.3362
P165-PWY: superpathway of purines degradation in plants	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.067
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	0	0	5.87427	0	0	0	9.9832	0	0	0	100.064	1.91227	0	6.23816	0	0	0	0	12.9088	0	8.58556	0	149.731	5.14563	0	0	0	0	0	0	1.8333	27.2494	10.3658	0	0	354.436	267.852	6.13512	0	0	118.654	14.0465	0	0	32.1045	94.6742	6.62938	20.8638	0	3.91004	96.1322	103.357	111.783	21.7498	0	4.77744	0	0	0	9.09494	7.28427	94.5112	0	0	0	7.478	5.8981	2.93513	0	0	5.00303	81.8709
